DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMA AL-QONAAH BALEENDAH,20256637,SMA,-,Jelekong,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-7.026400000000,107.655400000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA AMS PAMEUNGPEUK,20227818,SMA,-,Sukasari,Kec. Pameungpeuk,Kab. Bandung,Prov. Jawa Barat,40376,-7.019600000000,107.595900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA ANGKASA MARGAHAYU,20227822,SMA,-,Sulaeman,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40229,-6.982715000000,107.563446600000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA ASH-SHOPA MAJALAYA,20227919,SMA,-,Biru,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.051000000000,107.732700000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA ASSALAM DAYEUHKOLOT,20206171,SMA,Situtarate,Cangkuang Kulon,Kec. Dayeuhkolot,Kab. Bandung,Prov. Jawa Barat,40239,-6.966500000000,107.592600000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA ASY-SYUJAIYYAH CIWIDEY,20227823,SMA,Kp. Neglasari Desa Sukawening,Sukawening,Kec. Ciwidey,Kab. Bandung,Prov. Jawa Barat,40973,-7.073800000000,107.467900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA AULIA MAJALAYA,20227824,SMA,-,Majalaya,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.054300000000,107.761700000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA BAKTI NUSANTARA,20227829,SMA,-,Lebakwangi,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379,-7.046600000000,107.605200000000,SWASTA,C,Ada,Ada,Pompa,Cukup
SMA BANJAR ASRI CIMAUNG,20206170,SMA,Kp. Babakan,Cimaung,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40374,-7.083900000000,107.563900000000,SWASTA,A,Ada,Tidak ada,Ledeng/PAM,Tidak ada
SMA BHAKTI MULYA BANJARAN,20227828,SMA,Ciherang,Tanjungsari,Kec. Cangkuang,Kab. Bandung,Prov. Jawa Barat,40377,-7.043243300000,107.561461600000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA BHAKTI PUTRA,20227913,SMA,KP.Cibodas,Cibodas,Kec. Solokanjeruk,Kab. Bandung,Prov. Jawa Barat,40382,-7.012600000000,107.760400000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA BINA BANGSA SCHOOL,20270262,SPK SMA,desa mekarsaluyu,Mekarsaluyu,Kec. Cimenyan,Kab. Bandung,Prov. Jawa Barat,40191,-6.869700000000,107.634600000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA BINA MUDA CICALENGKA,20206169,SMA,TENJOLAYA,Tenjolaya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6.983300000000,107.837500000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA BINA NEGARA 1 BALEENDAH,20227830,SMA,Bahuan,Andir,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-6.983800000000,107.613700000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA BPPI BALEENDAH,20227826,SMA,Baleendah,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-6.998900000000,107.623600000000,SWASTA,A,Ada,Ada,Pompa,Tidak ada
SMA BUPPI MAJALAYA,20206155,SMA,-,Majakerta,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.052048000000,107.756281000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA CENDIKIA INFORMATIKA,20227914,SMA,Karasak,Ciheulang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.022300000000,107.687000000000,SWASTA,B,Ada,Ada,Pompa,Cukup
