DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMAS IT ATTAUHID BABELAN,20253934,SMA,-,Muarabakti,Kec. Babelan,Kab. Bekasi,Prov. Jawa Barat,17610,-6.095800000000,107.052800000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS IT DARUL MUHSININ,20268951,SMA,-,Wanasari,Kec. Cibitung,Kab. Bekasi,Prov. Jawa Barat,17520,-6.247400000000,107.085500000000,SWASTA,C,Ada,Ada,Pompa,Cukup
SMAS IT KI HAJAR DEWANTORO,69902897,SMA,Sumberjaya,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.217000000000,107.076500000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMAS IT MUSLIMAH SEJATI,70045722,SMA,,Tridayasakti,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.243500000000,107.074500000000,SWASTA,Belum Akreditasi,Ada,Ada,Lainnya,Cukup
SMAS IT THORIQ BIN ZIYAD,20257102,SMA,Jatimulya,Jatimulya,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17515,-6.269900000000,107.029700000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS JAYA SUTI ABADI,20238015,SMA,-,Tridayasakti,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.243600000000,107.064600000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS JHON PAULS SCHOOL,69775473,SPK SMA,,Pusakarakyat,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat,17214,-6.153600000000,106.982000000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMAS KRISTEN IPEKA GRAND WISATA,69927177,SMA,Lambangsari,Lambangsari,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,,-6.289400000000,107.040800000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS KRISTEN NASIONAL ANGLO,20238018,SMA,Serang,Serang,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat,17550,-6.348000000000,107.138400000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS MUTIARA ISLAMI PLUS,69841003,SMA,"Kaveling B, Perumahan KSB",Sukaragam,Kec. Serang Baru,Kab. Bekasi,Prov. Jawa Barat,17330,-6.396600000000,107.107000000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS NURUL YAQIN,20245435,SMA,Dusun 1,Sukatenang,Kec. Sukawangi,Kab. Bekasi,Prov. Jawa Barat,17654,-6.095900000000,107.069700000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMAS PANGUDI LUHUR BERNARDUS,69864644,SMA,Hegarmukti,Hegarmukti,Kec. Cikarang Pusat,Kab. Bekasi,Prov. Jawa Barat,17530,-6.358400000000,107.185900000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS PESANTREN DARUL IKHLAS,69899932,SMA,Kp.Kongsi,Jayasampurna,Kec. Serang Baru,Kab. Bekasi,Prov. Jawa Barat,17330,-6.371800000000,107.093200000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMAS PLUS BINAAUL UMMAH,20280610,SMA,BUWEK JAYA,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.231600000000,107.082600000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS PRESIDEN (BOARDING SCHOOL),20252288,SMA,-,Simpangan,Kec. Cikarang Utara,Kab. Bekasi,Prov. Jawa Barat,17551,-6.281300000000,107.168400000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS PUSAKA NUSANTARA 2,20238570,SMA,Mekarsari,Mekarsari,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.261500000000,107.059000000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS RIYADLUL JANNAH,20244733,SMA,Sempu,Pasirgombong,Kec. Cikarang Utara,Kab. Bekasi,Prov. Jawa Barat,17530,-6.276600000000,107.151500000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS SABILUL MUHTADIN,20251918,SMA,Babelan Kota,Babelan Kota,Kec. Babelan,Kab. Bekasi,Prov. Jawa Barat,17612,-6.164500000000,107.044600000000,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup
SMAS SEKOLAH RAKYAT,20246454,SMA,III,Kedungpengawas,Kec. Babelan,Kab. Bekasi,Prov. Jawa Barat,17610,-6.146100000000,107.049300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS TERPADU PELITA BANGSA,69889026,SMA,Blukbuk,Pantaibahagia,Kec. Muara Gembong,Kab. Bekasi,Prov. Jawa Barat,17730,-6.012988000000,107.068434000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMAS TUNAS BANGSA PEBAYURAN,20251802,SMA,Karangharja,Karangharja,Kec. Pebayuran,Kab. Bekasi,Prov. Jawa Barat,17710,-6.108700000000,107.211600000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS YADIKA 13,20268860,SMA,-,Jejalen Jaya,Kec. Tambun Utara,Kab. Bekasi,Prov. Jawa Barat,17567,-6.215400000000,107.073000000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS YADIKA 8 JATI MULYA,20238027,SMA,-,Jatimulya,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17515,-6.272600000000,107.018800000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS YAPINK TAMBUN SELATAN,20251809,SMA,Tambun Selatan,Tambun,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17511,-6.261900000000,107.060600000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA NEGERI 1 BOJONGGEDE,69888996,SMA,Kp. Sudimampir,Cimanggis,Kec. Bojong Gede,Kab. Bogor,Prov. Jawa Barat,16320,-6.497600000000,106.778800000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMA NEGERI 1 LEUWISADENG,69954894,SMA,Leuwisadeng,Leuwisadeng,Kec. Leuwisadeng,Kab. Bogor,Prov. Jawa Barat,16641,-6.574600000000,106.599200000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 TANJUNGSARI,69962280,SMA,01,Antajaya,Kec. Tanjung Sari,Kab. Bogor,Prov. Jawa Barat,16840,-6.569500000000,107.145000000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 2 CILEUNGSI,69926270,SMA,Rawahingkik,Cipenjo,Kec. Cileungsi,Kab. Bogor,Prov. Jawa Barat,16820,-6.394200000000,106.977800000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 BABAKAN MADANG,20231322,SMA,Kp. Banceuy,Babakan Madang,Kec. Babakan Madang,Kab. Bogor,Prov. Jawa Barat,16811,-6.569800000000,106.866500000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CARINGIN,20254098,SMA,Cimande Hilir,Cimande Hilir,Kec. Caringin,Kab. Bogor,Prov. Jawa Barat,16730,-6.704700000000,106.824800000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CARIU,20200884,SMA,TANGGULUN,Cariu,Kec. Cariu,Kab. Bogor,Prov. Jawa Barat,16840,-6.523500000000,107.126600000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CIAMPEA,20200676,SMA,Karang Mas,Cibadak,Kec. Ciampea,Kab. Bogor,Prov. Jawa Barat,16620,-6.556100000000,106.689900000000,NEGERI,A,Ada,Tidak ada,Ledeng/PAM,Cukup
SMAN 1 CIAWI BOGOR,20200685,SMA,-,Banjar Waru,Kec. Ciawi,Kab. Bogor,Prov. Jawa Barat,16720,-6.676200000000,106.861200000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CIBINONG,20200885,SMA,Kelurahan Ciriung,Ciriung,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16918,-6.470353300000,106.861806700000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CIBUNGBULANG,20231324,SMA,Cisauk,Cibatok 1,Kec. Cibungbulang,Kab. Bogor,Prov. Jawa Barat,16630,-6.587400000000,106.662900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CIGOMBONG,20200886,SMA,Bojong Kiharib,Wates Jaya,Kec. Cigombong,Kab. Bogor,Prov. Jawa Barat,16740,-6.749200000000,106.804100000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 CIGUDEG,20231325,SMA,-,Cigudeg,Kec. Cigudeg,Kab. Bogor,Prov. Jawa Barat,16660,-6.554100000000,106.536400000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CIJERUK,20271050,SMA,Gegerbitung,Cijeruk,Kec. Cijeruk,Kab. Bogor,Prov. Jawa Barat,16740,-6.705400000000,106.795600000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CILEUNGSI,20200681,SMA,Kp. Pasar Lama,Cileungsi,Kec. Cileungsi,Kab. Bogor,Prov. Jawa Barat,16820,-6.394100000000,106.956100000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CIOMAS,20232374,SMA,-,Sukaharja,Kec. Ciomas,Kab. Bogor,Prov. Jawa Barat,16610,-6.604800000000,106.749700000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Kurang
SMAN 1 CISARUA,20232375,SMA,Kopo Sompoy,Leuwimalang,Kec. Cisarua,Kab. Bogor,Prov. Jawa Barat,16750,-6.666100000000,106.926000000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 CISEENG,20232376,SMA,-,Putat Nutug,Kec. Ciseeng,Kab. Bogor,Prov. Jawa Barat,16120,-6.458000000000,106.665100000000,NEGERI,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMAN 1 CITEUREUP,20200603,SMA,Babakan,Tarikolot,Kec. Citeureup,Kab. Bogor,Prov. Jawa Barat,16810,-6.505289300000,106.888002900000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 DRAMAGA,20232377,SMA,Dramaga,Dramaga,Kec. Dramaga,Kab. Bogor,Prov. Jawa Barat,16680,-6.569600000000,106.740000000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Tidak ada
SMAN 1 GUNUNG PUTRI,20231330,SMA,Bojongnangka,Bojong Nangka,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,16963,-6.436500000000,106.914900000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 GUNUNG SINDUR,20231331,SMA,GUNUNGSINDUR,Gunung Sindur,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16340,-6.383300000000,106.659500000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 JASINGA,20200587,SMA,SETU,Setu,Kec. Jasinga,Kab. Bogor,Prov. Jawa Barat,16670,-6.471900000000,106.467700000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 JONGGOL,20200680,SMA,KP. RAWEUY,Sukasirna,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.482500000000,107.060300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 KLAPANUNGGAL,20276388,SMA,Kp. Cibugis,Kelapa Nunggal,Kec. Klapanunggal,Kab. Bogor,Prov. Jawa Barat,16820,-6.452200000000,106.960900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 LEUWILIANG,20200601,SMA,Leuwiliang,Leuwiliang,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,16640,-6.572100000000,106.629300000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 MEGAMENDUNG,20232380,SMA,Kp. Pasir Kaliki,Sukamaju,Kec. Megamendung,Kab. Bogor,Prov. Jawa Barat,16770,-6.678000000000,106.888200000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 NANGGUNG,20254612,SMA,Nanggung,Nanggung,Kec. Nanggung,Kab. Bogor,Prov. Jawa Barat,16650,-6.607400000000,106.537000000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 PAMIJAHAN,20231334,SMA,Gunung Sari,Gunung Sari,Kec. Pamijahan,Kab. Bogor,Prov. Jawa Barat,16810,-6.668500000000,106.663200000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 PARUNG,20200602,SMA,Kp. Jeletreng,Warujaya,Kec. Parung,Kab. Bogor,Prov. Jawa Barat,16330,-6.436900000000,106.711000000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 PARUNG PANJANG,20200887,SMA,-,Jagabaya,Kec. Parungpanjang,Kab. Bogor,Prov. Jawa Barat,16360,-6.396180500000,106.544396500000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 RANCABUNGUR,69754446,SMA,PASIRGAOK,Pasir Gaok,Kec. Ranca Bungur,Kab. Bogor,Prov. Jawa Barat,16310,-6.542500000000,106.717100000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 RUMPIN,20200903,SMA,Rumpin,Rumpin,Kec. Rumpin,Kab. Bogor,Prov. Jawa Barat,16350,-6.442400000000,106.640200000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 SUKAJAYA,20232382,SMA,Sukajaya,Sukajaya,Kec. Sukajaya,Kab. Bogor,Prov. Jawa Barat,16660,-6.592800000000,106.518700000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 SUKAMAKMUR,20232383,SMA,Kp Awilega,Sukamulya,Kec. Sukamakmur,Kab. Bogor,Prov. Jawa Barat,16830,-6.577800000000,107.007300000000,NEGERI,B,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 SUKARAJA,20231337,SMA,Kp Babakan Tumas,Cikeas,Kec. Sukaraja,Kab. Bogor,Prov. Jawa Barat,16710,-6.585400000000,106.844900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 TAJURHALANG,20232371,SMA,Tajurhalang,Tajur Halang,Kec. Tajurhalang,Kab. Bogor,Prov. Jawa Barat,16320,-6.476600000000,106.756900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 TAMANSARI,20200604,SMA,calobak,Taman Sari,Kec. Tamansari,Kab. Bogor,Prov. Jawa Barat,16610,-6.655000000000,106.748400000000,NEGERI,A,Ada,Ada,Lainnya,Cukup
SMAN 1 TENJO,20231338,SMA,Babakan,Babakan,Kec. Tenjo,Kab. Bogor,Prov. Jawa Barat,16370,-6.348000000000,106.463800000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 TENJOLAYA,69752279,SMA,-,Tapos 1,Kec. Tenjolaya,Kab. Bogor,Prov. Jawa Barat,16371,-6.642900000000,106.693900000000,NEGERI,B,Ada,Ada,Sumur terlindungi,Cukup
SMAN 2 CIBINONG,20200691,SMA,Karadenan,Karadenan,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16913,-6.522861700000,106.807865000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 2 GUNUNG PUTRI,20270776,SMA,Pabuaran,Ciangsana,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,16968,-6.364300000000,106.957300000000,NEGERI,A,Ada,Ada,Pompa,Kurang
SMAN 2 JONGGOL,69986555,SMA,Desa Jonggol,Jonggol,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.470500000000,107.074000000000,NEGERI,B,Ada,Ada,Sumur terlindungi,Cukup
SMAN 3 CIBINONG,20231339,SMA,Nanggewer,Nanggewer,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16912,-6.510813000000,106.823105000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 4 CIBINONG,69918146,SMA,Kp. Bojong Koneng,Cibinong,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16911,-6.486213300000,106.858278300000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA AL AMIN,69827809,SMA,Cibening,Cibening,Kec. Pamijahan,Kab. Bogor,Prov. Jawa Barat,16630,-6.637700000000,106.671600000000,SWASTA,B,Ada,Tidak ada,Mata air terlindungi,Cukup
SMA AL MINHAJ,69866096,SMA,Sukamaju,Sukamantri,Kec. Tamansari,Kab. Bogor,Prov. Jawa Barat,16610,-6.653400000000,106.767600000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA AL WAFI IBS,69992187,SMA,Ragamukti,Citayam,Kec. Tajurhalang,Kab. Bogor,Prov. Jawa Barat,16320,-6.441700000000,106.740400000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA AL-BAYAN ISLAMIC BOARDING SCHOOL,70036285,SMA,,Mekar Sari,Kec. Rumpin,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Lainnya,Cukup
SMA ALGEBRA ISLAMIC BOARDING SCHOOL,70050429,SMA,,Sukamahi,Kec. Megamendung,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Mata air terlindungi,Cukup
SMA AL-HADIID CILEUNGSI,70031734,SMA,,Cileungsi Kidul,Kec. Cileungsi,Kab. Bogor,Prov. Jawa Barat,16820,-6.408500000000,106.963800000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA Al-Qur`an Wahdah Islamiyah Cibinong,70029070,SMA,Kp. Cikempong,Pakansari,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16914,-6.492666700000,106.828376400000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA AL-WILDAN ISLAMIC SCHOOL 14 BUMI MUTIARA,70047575,SMA,,Bojong Kulur,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Lainnya,Cukup
SMA AQL ISLAMIC SCHOOL,70001504,SMA,,Sukasirna,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.490167000000,107.062674000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA BINA SPORA MANDIRI,69799885,SMA,-,Pasir Jaya,Kec. Cigombong,Kab. Bogor,Prov. Jawa Barat,16740,-6.729400000000,106.790100000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA BOASH,20232403,SMA,Parakan Jaya,Parakan Jaya,Kec. Kemang,Kab. Bogor,Prov. Jawa Barat,16310,-6.523300000000,106.760200000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA CHANDRA BUANA,70049107,SMA,,Pondok Udik,Kec. Kemang,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA CIPTA CENDIKIA,69978567,SMA,Karadenan,Karadenan,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16913,-6.517100000000,106.810700000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA CITRA BERKAT,69953981,SMA,SUKAMAJU,Sukamaju,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.461967000000,107.062192000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA Daar El-Salam,70050798,SMA,Bojongkulur,Bojong Kulur,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,16969,-6.313600000000,106.975900000000,SWASTA,Belum Akreditasi,Ada,Ada,Ledeng/PAM,Cukup
SMA FITRAH ISLAMIC WORLD ACADEMY,69978378,SMA,Tegal Jaya,Karihkil,Kec. Ciseeng,Kab. Bogor,Prov. Jawa Barat,16120,-6.479500000000,106.674500000000,SWASTA,A,Ada,Ada,Air sungai,Cukup
SMA GENERUS MANDIRI,70042090,SMA,Gunung Putri,Gunung Putri,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,16961,-6.464985300000,106.888287400000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IC MAGNET SCHOOL,69901004,SMA,Pasir Ipis,GUNUNG MULYA,Kec. Tenjolaya,Kab. Bogor,Prov. Jawa Barat,16370,-6.634740000000,106.706094000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA INSAN CENDEKIA BOARDING SCHOOL,69982490,SMA,Kadumangu,Kadumangu,Kec. Babakan Madang,Kab. Bogor,Prov. Jawa Barat,16810,-6.543232000000,106.853555000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA INTERNATIONAL ISLAMIC SCHOOL OF INDONESIA,20252077,SMA,Hambalang,Hambalang,Kec. Citeureup,Kab. Bogor,Prov. Jawa Barat,16810,-6.552300000000,106.880900000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA ISLAM AL AZHAR 24,70011787,SMA,,Pasir Jaya,Kec. Cigombong,Kab. Bogor,Prov. Jawa Barat,16110,-6.731248800000,106.783203000000,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup
SMA ISLAM AL MADINAH MALATI,69861171,SMA,Malati,Singasari,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.486941000000,106.994870000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA Islam Al-Azhar BSD@Metland,70028282,SMA,,Cipenjo,Kec. Cileungsi,Kab. Bogor,Prov. Jawa Barat,16820,-6.388281200000,106.987459800000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA ISLAM AL-GHOZALI,20232351,SMA,-,Curug,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16340,-6.394200000000,106.720900000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA ISLAM ARAFAH,70045207,SMA,,Kuta,Kec. Megamendung,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur tidak terlindungi,Cukup
SMA ISLAM CIKAL HARAPAN 2,69908200,SMA,Sukamaju,Sukamaju,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.453034100000,107.041614300000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA ISLAM DAARUL ARHAM,20231290,SMA,Kp Cipeusing,Batok,Kec. Tenjo,Kab. Bogor,Prov. Jawa Barat,16370,-6.388193000000,106.517193000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA ISLAM DAARUL WASIILAH,70040506,SMA,,Kopo,Kec. Cisarua,Kab. Bogor,Prov. Jawa Barat,16750,-6.670600000000,106.917200000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA ISLAM HIDAYATUL AHKAM,70044531,SMA,,Tenjo,Kec. Tenjo,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA ISLAM TERPADU AL MUSTHAFAWIYAH,69990743,SMA,PASIR MUNCANG,Sukakarya,Kec. Megamendung,Kab. Bogor,Prov. Jawa Barat,16770,-6.685800000000,106.901000000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA ISLAM TERPADU AL-MADINAH,20232311,SMA,-,Karadenan,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16913,-6.510726700000,106.805290000000,SWASTA,A,Ada,Tidak ada,Pompa,Cukup
SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL,69987474,SMA,Jami,Sukaluyu,Kec. Tamansari,Kab. Bogor,Prov. Jawa Barat,16610,-6.645500000000,106.739400000000,SWASTA,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMA IT AL ANDALUS,70038321,SMA,Balekambang,Balekambang,Kec. Jonggol,Kab. Bogor,Prov. Jawa Barat,16830,-6.511100000000,107.082300000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA IT Al Fityan Boarding School Bogor,70027072,SMA,Cipicung,Mekarsari,Kec. Cileungsi,Kab. Bogor,Prov. Jawa Barat,16820,-6.400124000000,106.997664600000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA IT AN Nawawi AL BANTANI,70006066,SMA,KP BULAK SAGA,Cibadung,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16340,-6.408744200000,106.691753400000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA IT An-Naafi,70028128,SMA,Gunung Calingcing,Kuripan,Kec. Ciseeng,Kab. Bogor,Prov. Jawa Barat,16120,-6.431407000000,106.667836300000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA IT ANUGERAH INSANI,70042516,SMA,Karadenan,Karadenan,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16913,0.002700000000,0.000300000000,SWASTA,Belum Akreditasi,Ada,Ada,Ledeng/PAM,Cukup
SMA IT DARUL QUR AN,20271471,SMA,cikarang,Pabuaran,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16430,-6.376000000000,106.680100000000,SWASTA,A,Ada,Ada,Lainnya,Cukup
SMA IT DARUL QUR`AN MULIA,70035800,SMA,Pabuaran,Pabuaran,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16340,-6.375300000000,106.680400000000,SWASTA,A,Ada,Ada,Lainnya,Cukup
SMA IT DINAMIKA UMAT,70038854,SMA,,Babakan,Kec. Ciseeng,Kab. Bogor,Prov. Jawa Barat,16117,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IT INSAN CENDEKIA MADANI GUNUNG GEULIS BOGOR,70010104,SMA,Gunung Geulis,Gunung Geulis,Kec. Sukaraja,Kab. Bogor,Prov. Jawa Barat,16710,-6.632420500000,106.878021400000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA IT RAHMATAN LIL ALAMIN,70051494,SMA,,Cicadas,Kec. Ciampea,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IT SERIBU BULAN BOARDING SCHOOL ,70046798,SMA,,Babakan,Kec. Tenjo,Kab. Bogor,Prov. Jawa Barat,,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA KRISTEN PENABUR KOTA WISATA,69873999,SMA,,Ciangsana,Kec. Gunungputri,Kab. Bogor,Prov. Jawa Barat,16968,-6.349000000000,106.962700000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA LOGOS,70035676,SMA,Pabuaran,Pabuaran,Kec. Bojong Gede,Kab. Bogor,Prov. Jawa Barat,16921,0.000000000000,0.000000000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
